DT - V1 - Probuilds.net 300x250,119100
DT - V1 - thenewcivilrights 336x280,121482
DT - V1 - PatriotChronicle.com 970x250,112827
DT - V1 - trend-chasers.com 300x250,122040
Dt - V1 - cyber-breeze.com 300x250,116267
DT - V1 - RealGM.com 970x250,119119
DT - V1 - Realgm.com 300x250,117262
DT - V1 - Clashdaily.com 970x250,134003
SPX - ConservativeByte.com 970x250 $3.50,134570
DT - V1 - AdThrive AU Large,134004
DT - V1 - AdThrive CA Large,118677
DT - V1 - FlickeringMyth 300x250,122008
DT - V1 - Media Street IBV $0.50,146433
DT - V1 - MediaStreet $1.5,126091
DT - V1 - Lifebuzz.com IBV $4,126346
DT - V1 - Brightroll IBV $1.50,121481
DT - V1 - Get Intent 300x250 ADX,119853
DT - V1 - Get Intent 300x250 Rubicon,118945
DT - V2 - theblaze.com 300x250 $1.5 US Dsktp HTML5,143050
DT - V1 - Citationmachine 400x300 $3.50 US Desktop,127000
DT - V1 - GourmetAds 300x250 IBV $3.75 US Desktop,134608
DT - V1 - LittleBudha.com 300x250 $2 US,117500
DT - V2 - Ap.org 300x250,114796
DT - V2 - Ap.org 970x250,123365
DT - V1 -Elephantjournal.com970x250 $3.75 CA-UK-AU,122995
DT - V1 - Defy Media IBV 300x250,120288
DT - V1 - Wuxiaworld.com - 400x300 $4 US UK CA AU,135105
DT - V1 - Coolerconvo.com 300x250,117461
DT - V2 - Wetpaint.com 300x250,113964
DT - V1 - Newmediabit.it 300x250 $1.70 IT Desktop,119750
DT - V1 - Newmediabit.it 970x250 $1.70 IT Desktop,122908
DT - V1 - NewsWeek.com Pre-Roll $14 US,142316
DT - V1 - NewsWeek.com Pre-Roll $10 UK-AU-CA,141645
DT - V1 - LatinTimes.com Pre-Roll $14 US,127526
DT - V1 - LatinTimes.com Pre-Roll $10 UK-AU-CA,142640
DT - V1 - IDigitalTimes.com Pre-Roll $14 US,142238
DT - V1 - IDigitalTimes.com Pre-Roll $10 UK-AU-CA,127972
DT - V1 - MedicalDaily.com Pre-Roll $14 US,115515
DT - V1 - MedicalDaily.com Pre-Roll $10 UK-AU-CA,134905
DT - V1 - ChristianToday.com $7,128378
DT - V1 - ChristianTimes.com $7,122941
DT - V1 - EcumenicalNews.com $7,146538
DT - V1 - VineReport.com $7,145146
DT - V1 - ChristianDaily.com $7,143082
DT - V1 - BreatheCast.com $7,146191
DT - V1 - SnapMunk.com IBV $3 USA Desktop,116527
DT - V1 - ViralNova.it 300x250 Slider $3,139565
DT - V1 - Citationmachine.net 300x250 $3 US Desktop,117963
DT - V1 - MetalInjection.net 970x250 $3.50 US DT,114641
DT - V1 - MetalSucks.net 970x250 $3.50 US DT,123069
DT - V1 - TheBrofessional.net 753x424 $8 Desktop,139876
DT - V1 - FitStyleLife.com 753x424 $8 Desktop,117004
DT - V1 - eCoustics.com 300x250 $2.50 US Desktop,116456
DT - V1 - Bombatomica.com.br 401x300,121734
DT - V1 - Viralnova.it 300x250 $3 T1 Slider,114718
DT - V1 - Viralnova.it 300x250 $2 ROW Slider,114717
DT - V1 - Canadianlisted.com 300x250 $3 T1 Slider,114485
DT - V1 - Canadianlisted.com 300x250 $2 ROW Slider,116378
DT - V1 - FPPT.com 300x250 $3 T1 Slider,120741
DT - V1 - FPPT.com 300x250 $2 ROW Slider,120744
DT - V1 - Slidehunter.com 300x250 $3 T1 Slider,120743
DT - V1 - Slidehunter.com 300x250 $2 ROW Slider,120745
DT - V1 - ConservativeFiringLine.com 300x250 $1.50 US Desktop,125589
DT - V1 - GirlsJustWannaHaveGuns.com 300x250 $1.50 US Desktop,120135
DT - V1 - LidBlog.com 300x250 $1.50 US Desktop,142288
DT - V1 - KirkCameron.com 300x250 $1.50 US Desktop,142432
DT - V1 - MinuteMenNews.com 300x250 $1.50 US Desktop,142290
DT - V1 - PatriotUpdate.com 300x250 $1.50 US Desktop,126026
DT - V1 - TheRealSide.com 300x250 $1.50 US Desktop,140057
DT - V1 - TheBlackSphere.net 300x250 $1.50 US Desktop,126091
DT - V1 - ReviveUSA.com 300x250 $1.50 US Desktop,124389
DT - V1 - GenFringe.com 300x250 $1.50 US Desktop,123365
DT - V1 - NewsNinja2012.com 300x250 $1.50 US Desktop,118678
DT - V1 - GunDebate.com 300x250 $1.50 US Desktop,118677
DT - V1 - ReviveUSA.com 300x250 $1.50 US Desktop,141050
DT - V1 - Zionica.com 300x250 $1.50 US Desktop,117460
DT - V1 - OutdoorBeasts.com 300x250 $1.50 US Desktop,141069
DT - V1 - BarbWire.com 300x250 $1.50 US Desktop,135067
DT - V1 - DennisMichaeLlynch.com 300x250 $1.50 US Desktop,131502
DT - V1 - USHerald.com 300x250 $1.50 US Desktop,129253
DT - V1 - TheMattWalshBlog.com 300x250 $1.50 US Desktop,121488
DT - V1 - TommyBlazeComic.com 300x250 $1.50 US Desktop,118936
DT - V1 - JanMorganMedia.com 300x250 $1.50 US Desktop,120987
DT - V1 - LibertyAlliance.com 300x250 $1.50 US Desktop,116360
DT - V1 - ConservativeFiringLine.com 728x250 $4 US Desktop,122041
DT - V1 - PatriotUpdate.com 728x250 $4 US Desktop,122042
DT - V1 - NewsNinja2012.com 728x250 $4 US Desktop,122045
DT - V1 - ConservativeByte.com 728x250 $4 US Desktop,122037
DT - V1 - TheBlackSphere.net 728x250 $4 US Desktop,122039
DT - V1 - LidBlog.com 728x250 $4 US Desktop,120495
DT - V1 - MinuteMenNews.com 728x250 $4 US Desktop,120499
DT - V1 - OutdoorBeasts.com 728x250 $4 US Desktop,120496
DT - V1 - Zionica.com 728x250 $4 US Desktop,122044
DT - V1 - DennisMichaelLynch.com 728x250 $4 US Desktop,122038
DT - V1 - ReviveUSA.com 728x250 $4 US Desktop,122043
DT - V1 - ConservativeVideos.com 728x250 $4 US Desktop,126092
DT - V1 - USHerald.com 728x250 $4 US Desktop,122035
DT - V1 - FightingForTrump.com 728x250 $4 US Desktop,122048
DT - V1 - ClashDaily.com 728x250 $4 US Desktop,128227
DT - V1 - JasonMattera.com 728x250 $4 US Desktop,125371
DT - V1 - RedRightRepublic.com 728x250 $4 US Desktop,135142
DT - V1 - eCoustics.com 300x250 $2.50 US Desktop,116456
DT - V1 - Bombatomica.com.br 401x300,121734
DT - V1 - Edgetrends.com 401x300,117960
DT - V1 - Newmediabit.it 300x250 $1.70 IT Desktop,146446
DT - V1 - Newmediabit.it 970x250 $1.70 IT Desktop,128226
DT - V1 - Edgetrends.com 401x300,134568
DT - V1 msn.com 300x250 IBV,117017
DT - V1 - Jango.com ROW - $3 VRB,113689
DT - V1 - OSDir.com 300x250 $1 US Desktop,116361
DT - V1 - Drudgereport.com 300x250,114797
DT - V1 - Grammarist.com 300x250 $5,122299
DT - V1 - Pocketnow.com 300x250 $3,117126
DT - V1 - Biology-online.org 300x250 $3,116382
DT - V1 - Phonesreview.co.uk 300x250 $1.50,119846
DT - V1 - Reductress.com,123326
DT - V1 - Realtimepolitics.com,144059
DT - V2 - Lifehack.org - $2.30,134648
DT - V1 - PSXHAX.com - $6,119556
DT - V1 - Zergnet.com 400x300 Slider,143759
DT - V1 - PSXHAX.com - $9,119542
DT - V1 - Lbpost.com - $6,122993
DT - V1 - RateYourMusic.com - 1.5,119729
DT - V1 - Tegna US - $3,119727
DT - V1 - Clasificados.com 739x416,134615
DT - V1 - Clasificados.com 620x349,134614
DT - V1 - Classificados.com 739x416,134616
DT - V1 - Classificados.com 620x349,134617
DT - V1 - MetroTimes.com 970x250 $2 US,123068
DT - V1 - CleveScene.com 970x250 $2 US,115498
DT - V1 - OrlandoWeekly.com 970x250 $2 US,125592
DT - V1 - OutInSA.com 970x250 $2 US,120137
DT - V1 - RiverfrontTimes.com 970x250 $2 US,128012
DT - V1 - SACurrent.com 970x250 $2 US,137488
DT - V1 - SanBenitoCountyToday.com 600x360 $4,134689
DT - V1 - MorganHillTimes.com 600x360 $4 US Slider,134690
DT - V1 - GilroyDispatch.com 600x360 $4 US Slider,134686
DT - V1 - American Media Inc - $3,119539
"DT - V2 - Diffen.com CA, UK, AU - $5.2",119521
DT - V1 - Zergnet.com 400x300 Slider,143759
DT - V1 - TheBrofessional.net 753x424 $10 In-Art,126101
DT - V1 - FitStyleLife.com 753x424 $10 In-Article,126027
DT - V1 - Virtual-Strategy.com 300x250 $1.50 DT,143919
DT - V1 - Clasificados.com 739x416,134615
DT - V1 - Clasificados.com 620x349,134614
DT - V1 - Classificados.com 739x416,134616
DT - V1 - Classificados.com 620x349,134617
DT - V1 - MetroTimes.com 970x250 $2 US,123068
DT - V1 - CleveScene.com 970x250 $2 US,115498
DT - V1 - OrlandoWeekly.com 970x250 $2 US,125592
DT - V1 - OutInSA.com 970x250 $2 US,120137
DT - V1 - RiverfrontTimes.com 970x250 $2 US,128012
DT - V1 - SACurrent.com 970x250 $2 US,137488
DT - V1 - SanBenitoCountyToday.com 600x360 $4,134689
DT - V1 - MorganHillTimes.com 600x360 $4 US Slider,134690
DT - V1 - GilroyDispatch.com 600x360 $4 US Slider,134686
DT - V1 - Deliciousmeetshealthy.com 300x250 $2 US Desktop,123278
